#Kegg_pathway	                           ko_id	Cluter_frequency	Genome_frequency	P-value	Corrected_P-value
Photosynthesis - antenna proteins	         ko00196	9 out of 170 5.29411764705882%	31 out of 5389 0.57524587121915%	2.77839934725854e-07	2.36163944516976e-05
Glycolysis / Gluconeogenesis	                 ko00010	16 out of 170 9.41176470588235%	205 out of 5389 3.80404527741696%	0.000670675159059719	0.0570073885200761
Valine, leucine and isoleucine degradation	 ko00280	8 out of 170 4.70588235294118%	63 out of 5389 1.16904806086472%	0.000732862201687556	0.0622932871434423
Galactose metabolism	                         ko00052	9 out of 170 5.29411764705882%	87 out of 5389 1.61439970309891%	0.00155021307281322	0.131768111189124
Cyanoamino acid metabolism	                 ko00460	6 out of 170 3.52941176470588%	42 out of 5389 0.779365373909816%	0.00184249329598685	0.156611930158882
Alanine, aspartate and glutamate metabolism	 ko00250	8 out of 170 4.70588235294118%	80 out of 5389 1.48450547411394%	0.00348324945175704	0.296076203399349
Carbon fixation in photosynthetic organisms	 ko00710	9 out of 170 5.29411764705882%	101 out of 5389 1.87418816106884%	0.00433171998211002	0.368196198479351
Cysteine and methionine metabolism	         ko00270	10 out of 170 5.88235294117647%	124 out of 5389 2.3009834848766%	0.00549130563260047	0.46676097877104
Tyrosine metabolism	                         ko00350	6 out of 170 3.52941176470588%	58 out of 5389 1.0762664687326% 	0.00939145608153447	0.79827376693043
Glycine, serine and threonine metabolism	 ko00260	7 out of 170 4.11764705882353%	77 out of 5389 1.42883651883466%	0.0103234370362069	0.877492148077583
Tryptophan metabolism	                         ko00380	6 out of 170 3.52941176470588%	60 out of 5389 1.11337910558545%	0.0110326065215612	0.937771554332705
Photosynthesis	                                 ko00195	7 out of 170 4.11764705882353%	79 out of 5389 1.46594915568751%	0.011809379356531	1
Pyruvate metabolism	                         ko00620	9 out of 170 5.29411764705882%	120 out of 5389 2.2267582111709%	0.0130442156140238	1
Nitrogen metabolism	                         ko00910	7 out of 170 4.11764705882353%	82 out of 5389 1.52161811096678%	0.0143202199084835	1
Fructose and mannose                     	 ko00051	7 out of 170 4.11764705882353%	92 out of 5389 1.70718129523103%	0.025431410831341	1
Arginine and proline metabolism	                 ko00330	7 out of 170 4.11764705882353%	97 out of 5389 1.79996288736315%	0.032754977303302	1
Lysine degradation	                         ko00310	4 out of 170 2.35294117647059%	39 out of 5389 0.723696418630544%	0.0333236275187734	1
Fatty acid metabolism	                         ko00071	6 out of 170 3.52941176470588%	79 out of 5389 1.46594915568751%	0.0376598845819669	1
Amino sugar and nucleotide sugar metabolism	 ko00520	8 out of 170 4.70588235294118%	123 12out of 5389 2.28242716645018%	0.0397343211177241	1
alpha-Linolenic acid metabolism	                 ko00592	4 out of 170 2.35294117647059%	42 out of 5389 0.779365373909816%	0.0421920217294545	1
Linoleic acid metabolism	                 ko00591	3 out of 170 1.76470588235294%	26 out of 5389 0.482464279087029%	0.0471242788549537	1
Glycosphingolipid biosynthesis - globo series	 ko00603	2 out of 170 1.17647058823529%	13 out of 5389 0.241232139543515%	0.0614355565702016	1
Zeatin biosynthesis	                         ko00908	3 out of 170 1.76470588235294%	32 out of 5389 0.593802189645574%	0.0785058825600224	1
Glycerolipid metabolism	                         ko00561	5 out of 170 2.94117647058824%	74 out of 5389 1.37316756355539%	0.0832156267498712	1
Synthesis and degradation of ketone bodies	 ko00072	2 out of 170 1.17647058823529%	16 out of 5389 0.296901094822787%	0.0889182028329791	1
Propanoate metabolism	                         ko00640	4 out of 170 2.35294117647059%	58 out of 5389 1.0762664687326%	        0.109351101029574	1
Carotenoid biosynthesis	                         ko00906	3 out of 170 1.76470588235294%	37 out of 5389 0.686583781777695%	0.109972126202763	1
One carbon pool by folate	                 ko00670	2 out of 170 1.17647058823529%	19 out of 5389 0.35257005010206%	0.119264591181355	1
Starch and sucrose metabolism	                 ko00500	9 out of 170 5.29411764705882%	185 out of 5389 3.43291890888848%	0.129148710969312	1
Plant hormone signal transduction	         ko04075	11 out of 170 6.47058823529412%	245 out of 5389 4.54629801447393%	0.14976692835945	1
Ascorbate and aldarate metabolism	         ko00053	3 out of 170 1.76470588235294%	43 out of 5389 0.79792169233624%	0.152946400314906	1
Porphyrin and chlorophyll metabolism	         ko00860	4 out of 170 2.35294117647059%	69 out of 5389 1.28038597142327%	0.172379686650309	1
Limonene and pinene degradation	                 ko00903	2 out of 170 1.17647058823529%	24 out of 5389 0.445351642234181%	0.174221342927233	1
Histidine metabolism	                         ko00340	2 out of 170 1.17647058823529%	29 out of 5389 0.538133234366302%	0.232290215872326	1
beta-Alanine metabolism	                         ko00410	3 out of 170 1.76470588235294%	55 out of 5389 1.02059751345333%	0.250471890206103	1
Lysine biosynthesis	                         ko00300	2 out of 170 1.17647058823529%	33 out of 5389 0.612358508071999%	0.27954663440563	1
Sphingolipid metabolism	                         ko00600	2 out of 170 1.17647058823529%	33 out of 5389 0.612358508071999%	0.27954663440563	1
Pantothenate and CoA biosynthesis	         ko00770	2 out of 170 1.17647058823529%	38 out of 5389 0.70514010020412%	0.338267701825136	1
Benzoxazinoid biosynthesis	                 ko00402	1 out of 170 0.588235294117647%	14 out of 5389 0.259788457969939%	0.361930038496865	1
Other glycan degradation	                 ko00511	1 out of 170 0.588235294117647%	15 out of 5389 0.278344776396363%	0.382110855883953	1
Phenylalanine metabolism	                 ko00360	4 out of 170 2.35294117647059%	103 out of 5389 1.91130079792169%	0.409762842284686	1
Arachidonic acid metabolism	                 ko00590	1 out of 170 0.588235294117647%	17 out of 5389 0.315457413249211%	0.420588412696662	1
Tropane, piperidine and pyridine alkaloid biosynthesis	 ko00960	1 out of 170 0.588235294117647%	18 out of 5389 0.334013731675636%	0.438924222421443	1
Flavonoid biosynthesis	                         ko00941	2 out of 170 1.17647058823529%	47 out of 5389 0.872146966041937%	0.439628103627806	1
Phenylalanine, tyrosine and tryptophan biosynthesis	 ko00400	2 out of 170 1.17647058823529%	47 out of 5389 0.872146966041937%	0.439628103627806	1
Selenocompound metabolism	                 ko00450	2 out of 170 1.17647058823529%	48 out of 5389 0.890703284468361%	0.450389064827456	1
Butanoate metabolism	                         ko00650	2 out of 170 1.17647058823529%	48 out of 5389 0.890703284468361%	0.450389064827456	1
Citrate cycle (TCA cycle)	                 ko00020	3 out of 170 1.76470588235294%	79 out of 5389 1.46594915568751%	0.457073128706636	1
Pentose phosphate pathway	                 ko00030	3 out of 170 1.76470588235294%	80 out of 5389 1.48450547411394%	0.46533624483572	1
Diterpenoid biosynthesis	                 ko00904	1 out of 170 0.588235294117647%	20 out of 5389 0.371126368528484%	0.473883067464241	1
Glyoxylate and dicarboxylate metabolism        	 ko00630	2 out of 170 1.17647058823529%	52 out of 5389 0.964928558174058%	0.492233555936298	1
Mismatch repair	                                 ko03430	2 out of 170 1.17647058823529%	52 out of 5389 0.964928558174058%	0.492233555936298	1
Isoquinoline alkaloid biosynthesis	         ko00950	1 out of 170 0.588235294117647%	23 out of 5389 0.426795323807757%	0.522301824724824	1
Taurine and hypotaurine metabolism	         ko00430	1 out of 170 0.588235294117647%	23 out of 5389 0.426795323807757%	0.522301824724824	1
Stilbenoid, diarylheptanoid and gingerol biosynthesis	 ko00945	1 out of 170 0.588235294117647%	24 out of 5389 0.445351642234181%	0.537435758716031	1
DNA replication	                                 ko03030	2 out of 170 1.17647058823529%	67 out of 5389 1.24327333457042%	0.630170336940999	1
Terpenoid backbone biosynthesis	                 ko00900	2 out of 170 1.17647058823529%	70 out of 5389 1.29894228984969%	0.654013111843774	1
Phenylpropanoid biosynthesis	                 ko00940	3 out of 170 1.76470588235294%	107 out of 5389 1.98552607162739%	0.662447227410217	1
Phagosome	                                 ko04145	3 out of 170 1.76470588235294%	110 out of 5389 2.04119502690666%	0.68080119547701	1
Sulfur metabolism	                         ko00920	1 out of 170 0.588235294117647%	39 out of 5389 0.723696418630544%	0.714812302126419	1
Ribosome	                                 ko03010	9 out of 170 5.29411764705882%	332 out of 5389 6.16069771757283%	0.729883226760856	1
Glutathione metabolism	                         ko00480	2 out of 170 1.17647058823529%	81 out of 5389 1.50306179254036%	0.73109066298185	1
Biosynthesis of unsaturated fatty acids	         ko01040	1 out of 170 0.588235294117647%	44 out of 5389 0.816478010762665%	0.757347919157201	1
Fatty acid biosynthesis	                         ko00061	1 out of 170 0.588235294117647%	45 out of 5389 0.835034329189089%	0.765065571868767	1
Ubiquitin mediated proteolysis	                 ko04120	4 out of 170 2.35294117647059%	165 out of 5389 3.06179254035999%	0.771520706051924	1
Nucleotide excision repair	                 ko03420	2 out of 170 1.17647058823529%	89 out of 5389 1.65151233995175%	0.777615551493195	1
Ubiquinone and other terpenoid-quinone biosynthesis	 ko00130	1 out of 170 0.588235294117647%	47 out of 5389 0.872146966041937%	0.779776356458759	1
Peroxisome	                                 ko04146	2 out of 170 1.17647058823529%	97 out of 5389 1.79996288736315%	0.816982715201626	1
Protein processing in endoplasmic reticulum	 ko04141	5 out of 170 2.94117647058824%	218 out of 5389 4.04527741696047%	0.825536089288197	1
Pentose and glucuronate interconversions	 ko00040	1 out of 170 0.588235294117647%	55 out of 5389 1.02059751345333%	0.830008928784976	1
Plant-pathogen interaction	                 ko04626	3 out of 170 1.76470588235294%	145 out of 5389 2.69066617183151%	0.842743636412037	1
Base excision repair	                         ko03410	1 out of 170 0.588235294117647%	63 out of 5389 1.16904806086472%	0.868835361463214	1
Homologous recombination	                 ko03440	1 out of 170 0.588235294117647%	63 out of 5389 1.16904806086472%	0.868835361463214	1
mRNA surveillance pathway	                 ko03015	5 out of 170 2.94117647058824%	252 out of 5389 4.6761922434589%	0.906505156720745	1
Purine metabolism	                         ko00230	4 out of 170 2.35294117647059%	213 out of 5389 3.95249582482835%	0.910413455230235	1
Inositol phosphate metabolism	                 ko00562	1 out of 170 0.588235294117647%	81 out of 5389 1.50306179254036%	0.926917072138332	1
Valine, leucine and isoleucine biosynthesis	 ko00290	1 out of 170 0.588235294117647%	81 out of 5389 1.50306179254036%	0.926917072138332	1
Pyrimidine metabolism	                         ko00240	3 out of 170 1.76470588235294%	180 out of 5389 3.34013731675636%	0.928567067153803	1
Ether lipid metabolism	                         ko00565	1 out of 170 0.588235294117647%	92 out of 5389 1.70718129523103%	0.948930466685812	1
Endocytosis	                                 ko04144	2 out of 170 1.17647058823529%	190 out of 5389 3.5257005010206%	0.98496045058275	1
RNA degradation	                                 ko03018	1 out of 170 0.588235294117647%	131 out of 5389 2.43087771386157%	0.985755805704295	1
Glycerophospholipid metabolism	                 ko00564	1 out of 170 0.588235294117647%	151 out of 5389 2.80200408239005%	0.992627027108312	1
Oxidative phosphorylation	                 ko00190	2 out of 170 1.17647058823529%	220 out of 5389 4.08239005381332%	0.993679344423533	1
RNA transport	                                 ko03013	4 out of 170 2.35294117647059%	345 out of 5389 6.40192985711635%	0.996024794255927	1
Spliceosome	                                 ko03040	2 out of 170 1.17647058823529%	287 out of 5389 5.32566338838374%	0.99914891103436	1
