#SwissprotGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.40062	sp|O65091|NLTP4_ORYSJ	3.81179e-07	31/101(30.69)	51	Non-specific lipid-transfer protein 4 OS=Oryza sativa subsp. japonica GN=Os12g0114500 PE=2 SV=2
T1_Unigene_BMK.40408	sp|P17816|GRP1_HORVU	1.91067e-18	64/154(41.56)	85	Glycine-rich cell wall structural protein OS=Hordeum vulgare GN=GRP PE=2 SV=1
T1_Unigene_BMK.40734	sp|P21260|YPRO_OWEFU	6.94853e-11	36/100(36.00)	62	Uncharacterized proline-rich protein (Fragment) OS=Owenia fusiformis PE=4 SV=1
T1_Unigene_BMK.40757	sp|Q9XF58|PIP25_MAIZE	2.06487e-33	57/61(93.44)	123	Aquaporin PIP2-5 OS=Zea mays GN=PIP2-5 PE=1 SV=1
T1_Unigene_BMK.41438	sp|Q7GD79|RAN2_ORYSJ	2.25775e-102	138/149(92.62)	296	GTP-binding nuclear protein Ran-2 OS=Oryza sativa subsp. japonica GN=RAN2 PE=2 SV=1
T1_Unigene_BMK.41545	sp|Q63003|5E5_RAT	2.56294e-06	36/83(43.37)	50	5E5 antigen OS=Rattus norvegicus PE=2 SV=1
T1_Unigene_BMK.41772	sp|Q95P09|TSEP_GLOMM	1.2129e-36	50/89(56.18)	133	Protein TsetseEP OS=Glossina morsitans morsitans PE=1 SV=1
T1_Unigene_BMK.42964	sp|P37705|GRP3_DAUCA	5.04805e-25	68/139(48.92)	97	Glycine-rich protein A3 OS=Daucus carota PE=2 SV=1
T1_Unigene_BMK.43898	sp|O65857|GSTF1_ORYSJ	6.10033e-113	150/195(76.92)	327	Probable glutathione S-transferase GSTF1 OS=Oryza sativa subsp. japonica GN=GSTF1 PE=1 SV=2
T1_Unigene_BMK.44465	sp|Q9FPQ6|GP1_CHLRE	5.84406e-13	46/114(40.35)	71	Vegetative cell wall protein gp1 OS=Chlamydomonas reinhardtii GN=GP1 PE=2 SV=1
T1_Unigene_BMK.44755	sp|Q9FPQ6|GP1_CHLRE	3.3218e-20	49/110(44.55)	92	Vegetative cell wall protein gp1 OS=Chlamydomonas reinhardtii GN=GP1 PE=2 SV=1
T1_Unigene_BMK.44966	sp|Q0JBH9|ERG3_ORYSJ	8.01594e-82	117/144(81.25)	246	Elicitor-responsive protein 3 OS=Oryza sativa subsp. japonica GN=ERG3 PE=2 SV=1
T1_Unigene_BMK.45292	sp|Q9FFW5|PERK8_ARATH	3.7855e-09	30/70(42.86)	60	Proline-rich receptor-like protein kinase PERK8 OS=Arabidopsis thaliana GN=PERK8 PE=1 SV=1
T1_Unigene_BMK.46104	sp|Q8UZB3|ORF4_GFKVM	2.60104e-06	32/90(35.56)	48	Uncharacterized protein ORF4 OS=Grapevine fleck virus (isolate Italy/MT48) GN=ORF4 PE=4 SV=1
T1_Unigene_BMK.46664	sp|Q8T4N5|TSEP_GLOPP	7.55723e-50	63/140(45.00)	178	Protein TsetseEP OS=Glossina palpalis palpalis PE=4 SV=1
T1_Unigene_BMK.46675	sp|Q8T4N5|TSEP_GLOPP	9.72095e-102	123/179(68.72)	305	Protein TsetseEP OS=Glossina palpalis palpalis PE=4 SV=1
T1_Unigene_BMK.46686	sp|Q39096|ERD15_ARATH	4.45972e-24	67/162(41.36)	101	Protein EARLY RESPONSIVE TO DEHYDRATION 15 OS=Arabidopsis thaliana GN=ERD15 PE=1 SV=1
T1_Unigene_BMK.46783	sp|Q8LGG8|USPAL_ARATH	1.87378e-17	51/161(31.68)	81	Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2
T1_Unigene_BMK.46928	sp|O48646|GPX6_ARATH	4.57519e-102	154/212(72.64)	301	Probable phospholipid hydroperoxide glutathione peroxidase 6, mitochondrial OS=Arabidopsis thaliana GN=GPX6 PE=2 SV=2
T1_Unigene_BMK.47342	sp|P12862|ATPAM_WHEAT	0	501/509(98.43)	966	ATP synthase subunit alpha, mitochondrial OS=Triticum aestivum GN=ATPA PE=3 SV=1
T1_Unigene_BMK.47517	sp|Q9FN37|PSKR2_ARATH	1.14585e-23	52/107(48.60)	101	Phytosulfokine receptor 2 OS=Arabidopsis thaliana GN=PSKR2 PE=2 SV=1
T1_Unigene_BMK.47930	sp|Q9WTY1|PDCD7_MOUSE	5.27217e-08	34/80(42.50)	56	Programmed cell death protein 7 OS=Mus musculus GN=Pdcd7 PE=1 SV=1
T1_Unigene_BMK.48006	sp|Q0RDS4|IF2_FRAAA	3.18437e-10	59/170(34.71)	63	Translation initiation factor IF-2 OS=Frankia alni (strain ACN14a) GN=infB PE=3 SV=1
T1_Unigene_BMK.48036	sp|Q84N29|NLTP3_WHEAT	3.36989e-79	120/122(98.36)	237	Probable non-specific lipid-transfer protein 3 OS=Triticum aestivum GN=LTP3 PE=2 SV=1
T1_Unigene_BMK.48139	sp|P22217|TRX1_YEAST	8.56917e-08	34/91(37.36)	51	Thioredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX1 PE=1 SV=3
T1_Unigene_BMK.48233	sp|P05790|FIBH_BOMMO	4.83314e-83	136/252(53.97)	279	Fibroin heavy chain OS=Bombyx mori GN=FIBH PE=1 SV=4
T1_Unigene_BMK.48267	sp|Q9SZN7|HIP26_ARATH	5.84401e-46	81/155(52.26)	157	Heavy metal-associated isoprenylated plant protein 26 OS=Arabidopsis thaliana GN=HIPP26 PE=1 SV=1
T1_Unigene_BMK.48485	sp|P46518|LEA14_GOSHI	6.24373e-60	90/152(59.21)	189	Late embryogenesis abundant protein Lea14-A OS=Gossypium hirsutum GN=LEA14-A PE=2 SV=1
T1_Unigene_BMK.48507	sp|O26373|Y273_METTH	2.5769e-35	71/148(47.97)	126	UPF0098 protein MTH_273 OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) GN=MTH_273 PE=3 SV=1
T1_Unigene_BMK.48510	sp|Q52KI8|SRRM1_MOUSE	1.09895e-16	72/219(32.88)	83	Serine/arginine repetitive matrix protein 1 OS=Mus musculus GN=Srrm1 PE=1 SV=2
T1_Unigene_BMK.48531	sp|Q06398|GSTU6_ORYSJ	2.1466e-68	120/240(50.00)	219	Probable glutathione S-transferase GSTU6 OS=Oryza sativa subsp. japonica GN=GSTU6 PE=2 SV=2
T1_Unigene_BMK.48944	sp|Q9FK81|Y5258_ARATH	7.1529e-26	48/103(46.60)	100	Uncharacterized protein At5g22580 OS=Arabidopsis thaliana GN=At5g22580 PE=1 SV=1
T1_Unigene_BMK.49098	sp|Q9LEI7|CYT1_HORVU	3.23118e-67	100/107(93.46)	204	Cysteine proteinase inhibitor OS=Hordeum vulgare GN=ICY PE=1 SV=1
T1_Unigene_BMK.49166	sp|Q01595|CCDP_MAIZE	1.8446e-20	53/117(45.30)	87	Cortical cell-delineating protein OS=Zea mays PE=2 SV=1
T1_Unigene_BMK.49180	sp|P46518|LEA14_GOSHI	1.95225e-68	93/147(63.27)	210	Late embryogenesis abundant protein Lea14-A OS=Gossypium hirsutum GN=LEA14-A PE=2 SV=1
T1_Unigene_BMK.49535	sp|Q9XI29|Y1540_ARATH	7.75801e-12	42/132(31.82)	64	Uncharacterized protein At1g15400 OS=Arabidopsis thaliana GN=At1g15400 PE=1 SV=2
T1_Unigene_BMK.49580	sp|Q39134|AAP3_ARATH	4.28937e-90	134/189(70.90)	274	Amino acid permease 3 OS=Arabidopsis thaliana GN=AAP3 PE=1 SV=2
T1_Unigene_BMK.49602	sp|Q9SUS5|RHA1B_ARATH	2.67952e-17	52/167(31.14)	81	E3 ubiquitin-protein ligase RHA1B OS=Arabidopsis thaliana GN=RHA1B PE=2 SV=1
T1_Unigene_BMK.49716	sp|Q84JK2|FD_ARATH	1.02754e-11	52/160(32.50)	68	Protein FD OS=Arabidopsis thaliana GN=FD PE=1 SV=1
T1_Unigene_BMK.49768	sp|P31726|CYT1_MAIZE	3.68875e-48	86/140(61.43)	161	Cystatin-1 OS=Zea mays GN=RAMDAZC7 PE=2 SV=1
T1_Unigene_BMK.49828	sp|P10495|GRP1_PHAVU	5.84955e-79	122/200(61.00)	243	Glycine-rich cell wall structural protein 1.0 OS=Phaseolus vulgaris PE=2 SV=1
T1_Unigene_BMK.50294	sp|Q7XTL7|VITH5_ORYSJ	7.43957e-103	163/199(81.91)	305	Vacuolar iron transporter homolog 5 OS=Oryza sativa subsp. japonica GN=Os04g0686800 PE=2 SV=3
T1_Unigene_BMK.50492	sp|Q0JEQ2|APX3_ORYSJ	7.10199e-166	234/295(79.32)	466	Probable L-ascorbate peroxidase 3 OS=Oryza sativa subsp. japonica GN=APX3 PE=2 SV=1
T1_Unigene_BMK.50535	sp|Q9XFB7|NAS9_HORVU	0	327/341(95.89)	637	Nicotianamine synthase 9 OS=Hordeum vulgare GN=NAS9 PE=1 SV=1
