#SwissprotGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.37867	sp|Q9LNE7|CML7_ARATH	1.54001e-17	40/89(44.94)	80	Calmodulin-like protein 7 OS=Arabidopsis thaliana GN=CML7 PE=2 SV=1
T1_Unigene_BMK.38042	sp|Q9LZM4|WAKLQ_ARATH	9.08185e-30	55/93(59.14)	118	Wall-associated receptor kinase-like 20 OS=Arabidopsis thaliana GN=WAKL20 PE=2 SV=1
T1_Unigene_BMK.38135	sp|Q0J4P2|HSP81_ORYSJ	1.09033e-71	109/113(96.46)	229	Heat shock protein 81-1 OS=Oryza sativa subsp. japonica GN=HSP81-1 PE=2 SV=2
T1_Unigene_BMK.38515	sp|Q50EK1|C16B1_PICSI	1.30957e-72	115/260(44.23)	236	Cytochrome P450 716B1 OS=Picea sitchensis GN=CYP716B1 PE=2 SV=1
T1_Unigene_BMK.38587	sp|Q01481|WIR1B_WHEAT	9.41854e-22	42/60(70.00)	87	Protein WIR1B OS=Triticum aestivum GN=WIR1B PE=4 SV=1
T1_Unigene_BMK.38859	sp|P17816|GRP1_HORVU	5.22941e-24	43/60(71.67)	95	Glycine-rich cell wall structural protein OS=Hordeum vulgare GN=GRP PE=2 SV=1
T1_Unigene_BMK.38938	sp|Q9FJW4|NDUS4_ARATH	9.20824e-66	97/141(68.79)	206	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Arabidopsis thaliana GN=FRO1 PE=2 SV=1
T1_Unigene_BMK.39102	sp|Q94CS9|TIP12_ORYSJ	4.27495e-53	85/89(95.51)	168	Probable aquaporin TIP1-2 OS=Oryza sativa subsp. japonica GN=TIP1-2 PE=2 SV=1
T1_Unigene_BMK.39103	sp|Q94CS9|TIP12_ORYSJ	3.6734e-55	87/97(89.69)	176	Probable aquaporin TIP1-2 OS=Oryza sativa subsp. japonica GN=TIP1-2 PE=2 SV=1
T1_Unigene_BMK.39794	sp|Q9H7T3|CJ095_HUMAN	2.34774e-13	72/218(33.03)	72	Uncharacterized protein C10orf95 OS=Homo sapiens GN=C10orf95 PE=2 SV=1
T1_Unigene_BMK.40408	sp|P17816|GRP1_HORVU	1.91067e-18	64/154(41.56)	85	Glycine-rich cell wall structural protein OS=Hordeum vulgare GN=GRP PE=2 SV=1
T1_Unigene_BMK.40435	sp|Q41578|PORA_WHEAT	7.59024e-64	96/98(97.96)	200	Protochlorophyllide reductase A, chloroplastic OS=Triticum aestivum GN=PORA PE=3 SV=1
T1_Unigene_BMK.40734	sp|P21260|YPRO_OWEFU	6.94853e-11	36/100(36.00)	62	Uncharacterized proline-rich protein (Fragment) OS=Owenia fusiformis PE=4 SV=1
T1_Unigene_BMK.41773	sp|P84964|DEF12_TRIMO	6.34166e-28	42/45(93.33)	100	Defensin Tm-AMP-D1.2 OS=Triticum monococcum PE=1 SV=1
T1_Unigene_BMK.42449	sp|P30022|VP22_BHV1C	1.16273e-06	54/176(30.68)	51	Tegument protein VP22 OS=Bovine herpesvirus 1.1 (strain Cooper) GN=UL49 PE=1 SV=2
T1_Unigene_BMK.42450	sp|Q75JC9|Y8484_DICDI	4.38375e-21	95/306(31.05)	100	Uncharacterized protein DDB_G0271670 OS=Dictyostelium discoideum GN=DDB_G0271670 PE=4 SV=1
T1_Unigene_BMK.42802	sp|Q52KI8|SRRM1_MOUSE	9.87233e-10	47/120(39.17)	61	Serine/arginine repetitive matrix protein 1 OS=Mus musculus GN=Srrm1 PE=1 SV=2
T1_Unigene_BMK.42863	sp|Q84TB6|ADF3_ORYSJ	1.13375e-49	77/103(74.76)	157	Actin-depolymerizing factor 3 OS=Oryza sativa subsp. japonica GN=ADF3 PE=1 SV=1
T1_Unigene_BMK.43107	sp|P01053|ICI2_HORVU	5.51454e-17	38/73(52.05)	75	Subtilisin-chymotrypsin inhibitor-2A OS=Hordeum vulgare PE=1 SV=2
T1_Unigene_BMK.43200	sp|Q9SS31|CML36_ARATH	5.35457e-07	31/92(33.70)	51	Probable calcium-binding protein CML36 OS=Arabidopsis thaliana GN=CML36 PE=2 SV=1
T1_Unigene_BMK.43216	sp|P35792|PR12_HORVU	1.94158e-69	99/156(63.46)	215	Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1
T1_Unigene_BMK.43444	sp|Q0D3N0|PER2_ORYSJ	1.87511e-104	153/200(76.50)	306	Peroxidase 2 OS=Oryza sativa subsp. japonica GN=PRX112 PE=2 SV=1
T1_Unigene_BMK.44235	sp|Q9MAX6|COPE1_ORYSJ	5.50672e-58	93/101(92.08)	184	Coatomer subunit epsilon-1 OS=Oryza sativa subsp. japonica GN=COPE1 PE=2 SV=1
T1_Unigene_BMK.44493	sp|P35134|UBC11_ARATH	1.0133e-43	75/146(51.37)	149	Ubiquitin-conjugating enzyme E2 11 OS=Arabidopsis thaliana GN=UBC11 PE=2 SV=2
T1_Unigene_BMK.44712	sp|Q01851|PO4F1_HUMAN	1.49559e-06	40/114(35.09)	51	POU domain, class 4, transcription factor 1 OS=Homo sapiens GN=POU4F1 PE=2 SV=4
T1_Unigene_BMK.44746	sp|Q9ZVN4|Y1500_ARATH	1.16487e-58	73/106(68.87)	162	Probable tyrosine-protein phosphatase At1g05000 OS=Arabidopsis thaliana GN=At1g05000 PE=1 SV=1
T1_Unigene_BMK.44946	sp|Q9SJL7|RAX2_ARATH	4.5486e-62	87/122(71.31)	201	Transcription factor RAX2 OS=Arabidopsis thaliana GN=RAX2 PE=1 SV=1
T1_Unigene_BMK.45292	sp|Q9FFW5|PERK8_ARATH	3.7855e-09	30/70(42.86)	60	Proline-rich receptor-like protein kinase PERK8 OS=Arabidopsis thaliana GN=PERK8 PE=1 SV=1
T1_Unigene_BMK.45587	sp|Q5ZMJ9|SRRM1_CHICK	8.55529e-12	58/182(31.87)	67	Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1
T1_Unigene_BMK.45729	sp|B5X3B2|APMAP_SALSA	2.24619e-45	129/423(30.50)	167	Adipocyte plasma membrane-associated protein OS=Salmo salar GN=apmap PE=2 SV=1
T1_Unigene_BMK.46085	sp|Q17RH7|TPRXL_HUMAN	3.2564e-06	46/178(25.84)	50	Putative protein TPRXL OS=Homo sapiens GN=TPRXL PE=5 SV=2
T1_Unigene_BMK.46240	sp|P21260|YPRO_OWEFU	7.77666e-09	22/36(61.11)	55	Uncharacterized proline-rich protein (Fragment) OS=Owenia fusiformis PE=4 SV=1
T1_Unigene_BMK.46264	sp|Q4R1I9|ANGLT_ROSHC	8.59551e-103	183/476(38.45)	322	Anthocyanidin 5,3-O-glucosyltransferase OS=Rosa hybrid cultivar GN=RhGT1 PE=2 SV=1
T1_Unigene_BMK.46664	sp|Q8T4N5|TSEP_GLOPP	7.55723e-50	63/140(45.00)	178	Protein TsetseEP OS=Glossina palpalis palpalis PE=4 SV=1
T1_Unigene_BMK.46893	sp|Q17RH7|TPRXL_HUMAN	2.23772e-19	78/202(38.61)	90	Putative protein TPRXL OS=Homo sapiens GN=TPRXL PE=5 SV=2
T1_Unigene_BMK.46922	sp|Q7XUJ5|HOX22_ORYSJ	3.63716e-79	122/162(75.31)	245	Homeobox-leucine zipper protein HOX22 OS=Oryza sativa subsp. japonica GN=HOX22 PE=2 SV=2
T1_Unigene_BMK.47039	sp|Q9T076|ENL2_ARATH	1.1768e-41	103/308(33.44)	152	Early nodulin-like protein 2 OS=Arabidopsis thaliana GN=At4g27520 PE=1 SV=1
T1_Unigene_BMK.47154	sp|Q01417|PM1_SOYBN	1.4762e-20	64/173(36.99)	88	18 kDa seed maturation protein OS=Glycine max GN=GMPM1 PE=2 SV=1
T1_Unigene_BMK.47384	sp|Q10M18|TRL12_ORYSJ	5.15698e-79	128/168(76.19)	240	Thioredoxin-like 1-2, chloroplastic OS=Oryza sativa subsp. japonica GN=Os03g0326500 PE=2 SV=1
T1_Unigene_BMK.47487	sp|Q94AR6|DOF31_ARATH	1.00493e-26	48/97(49.48)	110	Dof zinc finger protein DOF3.1 OS=Arabidopsis thaliana GN=DOF3.1 PE=2 SV=2
T1_Unigene_BMK.47711	sp|Q03293|PER_DROAN	2.41737e-06	29/85(34.12)	48	Period circadian protein (Fragment) OS=Drosophila ananassae GN=per PE=3 SV=1
T1_Unigene_BMK.47786	sp|Q9FR99|ACCO_MUSAC	3.78101e-63	93/140(66.43)	198	1-aminocyclopropane-1-carboxylate oxidase OS=Musa acuminata GN=MAO1B PE=3 SV=1
T1_Unigene_BMK.47832	sp|P09444|LEA34_GOSHI	3.59893e-72	127/220(57.73)	229	Late embryogenesis abundant protein D-34 OS=Gossypium hirsutum PE=4 SV=1
T1_Unigene_BMK.47843	sp|Q9SWI6|RK29_MAIZE	3.18018e-76	126/162(77.78)	232	50S ribosomal protein L29, chloroplastic OS=Zea mays GN=RPL29 PE=2 SV=1
T1_Unigene_BMK.47950	sp|P42211|ASPRX_ORYSJ	1.02596e-84	133/167(79.64)	263	Aspartic proteinase OS=Oryza sativa subsp. japonica GN=RAP PE=2 SV=2
T1_Unigene_BMK.47964	sp|Q9SJG2|Y2296_ARATH	6.83607e-44	106/322(32.92)	166	Probable receptor-like protein kinase At2g42960 OS=Arabidopsis thaliana GN=At2g42960 PE=3 SV=1
