#ID	                 T1	 T3	Chi	        Q_value	                   log2(A/B)	regulated	COG_class	COG_class_annotation	GO_annotation	KEGG_annotation	Swissprot_annotation	TrEMBL_annotation	nr_annotation	nt_annotation
T2_Unigene_BMK.50731	612	83	0.000000	0	                2.88234841134573	up	--	--	Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867);; Cellular Component: extracellular region (GO:0005576);; Biological Process: proteolysis (GO:0006508);; Molecular Function: peptidase activity (GO:0008233);; 	--	Bowman-Birk type wound-induced proteinase inhibitor WIP1 OS=Zea mays GN=WIP1 PE=2 SV=1	Wali5 protein GN=wali5 OS=Triticum aestivum (Wheat) PE=4 SV=1	hypothetical protein TRIUR3_06540 [Triticum urartu]	Triticum aestivum protein of unknown function (wali5) mRNA, complete cds
T3_Unigene_BMK.67092	938	200	0.000000	0	                2.22958792274065	up	--	--	Cellular Component: plastid (GO:0009536);; Molecular Function: metal ion binding (GO:0046872);; 	--	Metallothionein-like protein 1 OS=Triticum aestivum GN=ALI1 PE=2 SV=1	Metallothionein OS=Triticum durum (Durum wheat) PE=4 SV=1	RecName: Full=Metallothionein-like protein 1; Short=MT-1 	Triticum aestivum metallothionein-like protein (wali1) mRNA, complete cds
T1_Unigene_BMK.20150	79	2	0.000000	0	                 5.3037807481771	up	--	--	Molecular Function: RNA binding (GO:0003723);; Molecular Function: endoribonuclease activity (GO:0004521);; Cellular Component: extracellular region (GO:0005576);; Cellular Component: cell wall (GO:0005618);; Cellular Component: vacuole (GO:0005773);; Cellular Component: plasma membrane (GO:0005886);; Biological Process: aging (GO:0007568);; Biological Process: response to wounding (GO:0009611);; Biological Process: anthocyanin-containing compound biosynthetic process (GO:0009718);; Biological Process: jasmonic acid mediated signaling pathway (GO:0009867);; Biological Process: proline transport (GO:0015824);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Biological Process: cellular response to phosphate starvation (GO:0016036);; Molecular Function: ribonuclease T2 activity (GO:0033897);; Biological Process: cellular catabolic process (GO:0044248);; Biological Process: nucleic acid metabolic process (GO:0090304);; 	--	Ribonuclease 1 OS=Arabidopsis thaliana GN=RNS1 PE=1 SV=1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1	aleurone ribonuclease [Hordeum vulgare subsp. vulgare]	Triticum aestivum cDNA, clone: SET1_H17, cultivar: Chinese Spring
T2_Unigene_BMK.59436	25	1	0.000003	0.000211976616231087	4.64385618977472	up	--	--	--	--	--	Cadmium tolerance factor OS=Triticum aestivum (Wheat) PE=2 SV=1	cadmium tolerance factor [Triticum aestivum]	Triticum aestivum cadmium tolerance factor mRNA, complete cds
T4_Unigene_BMK.62091	40	140	0.000000	0	                -1.8073549220576	down	--	--	Molecular Function: aspartic-type endopeptidase activity (GO:0004190);; Molecular Function: protein binding (GO:0005515);; Cellular Component: extracellular region (GO:0005576);; Cellular Component: nucleus (GO:0005634);; Biological Process: proteolysis (GO:0006508);; Biological Process: cellular aromatic compound metabolic process (GO:0006725);; Biological Process: defense response (GO:0006952);; Molecular Function: peptidase activity (GO:0008233);; Cellular Component: plant-type cell wall (GO:0009505);; Biological Process: response to endogenous stimulus (GO:0009719);; Biological Process: response to organic substance (GO:0010033);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Biological Process: cellular nitrogen compound metabolic process (GO:0034641);; Biological Process: cellular biosynthetic process (GO:0044249);; Biological Process: cellular protein metabolic process (GO:0044267);; Biological Process: small molecule metabolic process (GO:0044281);; Cellular Component: cytoplasmic part (GO:0044444);; Cellular Component: intracellular organelle part (GO:0044446);; Cellular Component: apoplast (GO:0048046);; Biological Process: regulation of cellular process (GO:0050794);; Biological Process: response to other organism (GO:0051707);; Biological Process: cellular response to stimulus (GO:0051716);; 	--	Protein ASPARTIC PROTEASE IN GUARD CELL 2 OS=Arabidopsis thaliana GN=ASPG2 PE=2 SV=1	Uncharacterized protein GN=BRADI1G72110 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1	PREDICTED: aspartic proteinase nepenthesin-1-like [Brachypodium distachyon]	Triticum aestivum cDNA, clone: WT004_H06, cultivar: Chinese Spring
T1_Unigene_BMK.45587	17	0	0.000039	0.00204219266055046	14.0532471259124	up	--	--	Biological Process: RNA processing (GO:0006396);; Cellular Component: nuclear part (GO:0044428);; 	--	Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1	Uncharacterized protein GN=BRADI2G27680 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1	hypothetical protein F775_26169 [Aegilops tauschii]	Oryza sativa Japonica Group Os05g0368000 (Os05g0368000) mRNA, complete cds
T1_Unigene_BMK.53691	58	19	0.000010	0.000631845018450185	1.61005348168399	up	[S]	Function unknown 	Biological Process: RNA splicing, via transesterification reactions (GO:0000375);; Molecular Function: protein binding (GO:0005515);; Biological Process: transcription from RNA polymerase II promoter (GO:0006366);; Biological Process: mRNA processing (GO:0006397);; Cellular Component: membrane (GO:0016020);; Cellular Component: nuclear body (GO:0016604);; 	--	Uncharacterized endoplasmic reticulum membrane protein C16E8.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC16E8.02 PE=4 SV=2	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	predicted protein [Hordeum vulgare subsp. vulgare] 	Hordeum vulgare subsp. vulgare mRNA for predicted protein, complete cds, clone: NIASHv2004F14
T1_Unigene_BMK.42450	76	29	0.000005	0.000335306788511749	1.38994651831601	up	--	--	--	--	Uncharacterized protein DDB_G0271670 OS=Dictyostelium discoideum GN=DDB_G0271670 PE=4 SV=1	Putative uncharacterized protein GN=PHYSODRAFT_314261 OS=Phytophthora sojae (strain P6497) PE=4 SV=1	hypothetical protein CMQ_2906 [Grosmannia clavigera kw1407]	--
T1_Unigene_BMK.71402	25	0	0.000001	7.79499241274659e-05	14.6096404744368	up	--	--	Cellular Component: membrane (GO:0016020);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; 	--	--	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1	predicted protein [Hordeum vulgare subsp. vulgare]	Triticum aestivum cDNA, clone: SET5_O04, cultivar: Chinese Spring
T1_Unigene_BMK.43216	190	0	0.000000	0	                 17.535639892993	up	[S]	Function unknown 	Biological Process: MAPK cascade (GO:0000165);; Cellular Component: extracellular region (GO:0005576);; Cellular Component: cell wall (GO:0005618);; Biological Process: protein targeting to membrane (GO:0006612);; Biological Process: response to water deprivation (GO:0009414);; Biological Process: detection of biotic stimulus (GO:0009595);; Biological Process: salicylic acid biosynthetic process (GO:0009697);; Biological Process: systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862);; Biological Process: jasmonic acid mediated signaling pathway (GO:0009867);; Biological Process: response to chitin (GO:0010200);; Biological Process: response to vitamin B1 (GO:0010266);; Biological Process: regulation of hydrogen peroxide metabolic process (GO:0010310);; Biological Process: regulation of plant-type hypersensitive response (GO:0010363);; Cellular Component: cytoplasmic membrane-bounded vesicle (GO:0016023);; Biological Process: negative regulation of defense response (GO:0031348);; Biological Process: response to endoplasmic reticulum stress (GO:0034976);; Biological Process: defense response to bacterium (GO:0042742);; Biological Process: regulation of multi-organism process (GO:0043900);; Biological Process: defense response to fungus (GO:0050832);; 	--	Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1	Pathogenisis-related protein 1.2 (Precursor) GN=PR-1.2 OS=Triticum aestivum (Wheat) PE=2 SV=1	pathogenisis-related protein 1.2 [Triticum aestivum] 	Triticum aestivum mRNA for PR-1.2 protein
