#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.40062	tr|F2E1K7|F2E1K7_HORVD	8e-79	115/119(96.64)	238	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.40408	tr|F2DMU9|F2DMU9_HORVD	1e-94	130/152(85.53)	280	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.40734	tr|M0WFA0|M0WFA0_HORVD	2e-74	109/124(87.90)	228	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.40757	tr|M0UVB7|M0UVB7_HORVD	2e-39	62/64(96.88)	133	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.41438	tr|I1GXL1|I1GXL1_BRADI	1e-108	144/149(96.64)	312	Uncharacterized protein GN=BRADI1G36820 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.41545	tr|F2DZZ8|F2DZZ8_HORVD	6e-37	65/75(86.67)	127	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.41772	tr|F2CPQ7|F2CPQ7_HORVD	9e-60	91/118(77.12)	188	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.42964	tr|G7K414|G7K414_MEDTR	2e-30	71/145(48.97)	111	Putative uncharacterized protein GN=MTR_5g025570 OS=Medicago truncatula (Barrel medic) PE=4 SV=1
T1_Unigene_BMK.43898	tr|I1HFD6|I1HFD6_BRADI	1e-123	163/194(84.02)	355	Uncharacterized protein GN=BRADI2G13110 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.44465	tr|F2E9B4|F2E9B4_HORVD	4e-83	123/140(87.86)	248	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.44755	tr|F2DGR6|F2DGR6_HORVD	1e-121	166/183(90.71)	347	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.44966	tr|D3JCC7|D3JCC7_WHEAT	2e-99	142/144(98.61)	292	Elicitor responsive gene 3 GN=ERG3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.45165	tr|M0UY68|M0UY68_HORVD	6e-41	78/110(70.91)	147	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.45214	tr|M0YWR7|M0YWR7_HORVD	4e-35	65/71(91.55)	123	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.45292	tr|F2E8I3|F2E8I3_HORVD	5e-70	107/120(89.17)	214	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.45735	tr|F2DFJ4|F2DFJ4_HORVD	6e-81	121/136(88.97)	242	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.45900	tr|M0UTI2|M0UTI2_HORVD	2e-46	78/91(85.71)	152	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.46104	tr|F2CQU3|F2CQU3_HORVD	1e-58	96/111(86.49)	186	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46664	tr|K9L8D5|K9L8D5_MAIZE	1e-56	78/135(57.78)	197	Proline and lysine rich protein GN=plr354b OS=Zea mays (Maize) PE=2 SV=1
T1_Unigene_BMK.46675	tr|F2CS84|F2CS84_HORVD	1e-143	182/201(90.55)	413	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46686	tr|F2DK53|F2DK53_HORVD	1e-101	147/159(92.45)	303	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46783	tr|D2XV76|D2XV76_HORVD	1e-107	152/158(96.20)	314	Universal stress protein 23267 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46928	tr|G9I6G6|G9I6G6_9POAL	1e-118	168/168(100.00)	340	Glutathione peroxidase OS=Secale cereale x Triticum durum PE=2 SV=1
T1_Unigene_BMK.47342	tr|Q40377|Q40377_9POAL	0.0	504/509(99.02)	970	ATP synthase subunit alpha GN=atpA OS=Triticum durum x Triticosecale sp PE=3 SV=1
T1_Unigene_BMK.47443	tr|F2EDE6|F2EDE6_HORVD	1e-26	47/49(95.92)	100	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.47517	tr|Q56B90|Q56B90_WHEAT	3e-49	97/182(53.30)	166	Ice recrystallization inhibition protein 1 (Precursor) OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.47930	tr|M0VFP6|M0VFP6_HORVD	6e-68	104/107(97.20)	210	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.48006	tr|F2DAE5|F2DAE5_HORVD	1e-113	161/181(88.95)	328	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48036	tr|Q5NE29|Q5NE29_WHEAT	4e-76	117/122(95.90)	231	Non-specific lipid-transfer protein (Precursor) GN=ltp9.4 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48139	tr|C0HG69|C0HG69_MAIZE	3e-49	74/95(77.89)	159	Uncharacterized protein GN=ZEAMMB73_661487 OS=Zea mays (Maize) PE=2 SV=1
T1_Unigene_BMK.48233	tr|F2CRG2|F2CRG2_HORVD	1e-160	239/307(77.85)	455	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48267	tr|F2D837|F2D837_HORVD	9e-74	111/152(73.03)	230	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48485	tr|M0Z9N7|M0Z9N7_HORVD	1e-112	164/184(89.13)	325	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.48507	tr|Q8H0B8|Q8H0B8_WHEAT	1e-121	165/165(100.00)	346	Cold regulated protein GN=Wcor18 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48510	tr|Q5Z4U8|Q5Z4U8_ORYSJ	1e-54	117/192(60.94)	181	Putative uncharacterized protein P0545E05.31-1 GN=P0545E05.31-1 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.48531	tr|Q8RW00|Q8RW00_WHEAT	1e-177	243/243(100.00)	498	Glutathione transferase GN=gstu3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48827	tr|F2EHM7|F2EHM7_HORVD	5e-82	131/148(88.51)	257	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48944	tr|F2EIY5|F2EIY5_HORVD	3e-63	95/104(91.35)	197	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49098	tr|F2E8X7|F2E8X7_HORVD	8e-73	114/136(83.82)	222	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49166	tr|F2DU32|F2DU32_HORVD	8e-77	112/120(93.33)	232	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49180	tr|Q5CAQ2|Q5CAQ2_TRIDB	1e-100	145/147(98.64)	291	Dehydrin GN=dhn29b OS=Triticum durum (Durum wheat) PE=2 SV=1
T1_Unigene_BMK.49535	tr|M0V014|M0V014_HORVD	3e-72	106/117(90.60)	222	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49580	tr|J7RA16|J7RA16_HORVU	1e-129	189/189(100.00)	374	Putative general amino acid permease (Fragment) GN=HvAAP6 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.49602	tr|F2E442|F2E442_HORVD	1e-135	193/207(93.24)	389	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49716	tr|M0UU57|M0UU57_HORVD	1e-97	151/164(92.07)	290	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49768	tr|Q9FS06|Q9FS06_WHEAT	2e-89	136/142(95.77)	268	Cysteine proteinase inhibitor GN=WC1 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.49828	tr|I1I4D6|I1I4D6_BRADI	1e-113	160/191(83.77)	330	Uncharacterized protein GN=BRADI3G27807 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.49957	tr|F2DF30|F2DF30_HORVD	2e-38	65/71(91.55)	132	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.50294	tr|F2CXX8|F2CXX8_HORVD	1e-131	202/208(97.12)	379	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.50492	tr|M0UVX0|M0UVX0_HORVD	0.0	270/294(91.84)	543	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.50535	tr|F2DTE5|F2DTE5_HORVD	0.0	328/341(96.19)	640	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.50599	tr|M0WV50|M0WV50_HORVD	0.0	311/316(98.42)	615	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.50621	tr|M0VST5|M0VST5_HORVD	1e-160	225/231(97.40)	452	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51076	tr|M0V709|M0V709_HORVD	1e-158	226/261(86.59)	448	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51087	tr|M0YVW9|M0YVW9_HORVD	0.0	301/314(95.86)	630	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51148	tr|F2E506|F2E506_HORVD	1e-53	87/94(92.55)	174	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51149	tr|F2CZ63|F2CZ63_HORVD	2e-58	91/113(80.53)	184	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51156	tr|F2EBL3|F2EBL3_HORVD	1e-87	140/237(59.07)	268	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51172	tr|M0ULP5|M0ULP5_HORVD	1e-151	209/237(88.19)	430	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51254	tr|M0YTX5|M0YTX5_HORVD	1e-164	222/244(90.98)	465	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51307	tr|F2ECN7|F2ECN7_HORVD	5e-60	91/92(98.91)	190	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51376	tr|F2CSG6|F2CSG6_HORVD	1e-108	159/172(92.44)	315	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51533	tr|M0V7J9|M0V7J9_HORVD	1e-160	231/238(97.06)	450	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
