#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.37867	tr|M0V190|M0V190_HORVD	1e-105	152/186(81.72)	308	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.38042	tr|M0VUD9|M0VUD9_HORVD	2e-60	101/104(97.12)	196	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.38135	tr|Q2VU87|Q2VU87_9ASPA	1e-73	108/113(95.58)	225	Putative heat shock protein (Fragment) OS=Iris tectorum PE=2 SV=1
T1_Unigene_BMK.38515	tr|I1GTX6|I1GTX6_BRADI	1e-137	200/274(72.99)	404	Uncharacterized protein GN=BRADI1G26120 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.38587	tr|I3NUT4|I3NUT4_WHEAT	5e-38	59/59(100.00)	129	WIR1c OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.38859	tr|Q40051|Q40051_HORVU	7e-37	52/58(89.66)	125	Glycine rich protein (Fragment) OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.38938	tr|F2E3K7|F2E3K7_HORVD	1e-110	156/158(98.73)	320	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.39102	tr|F6JVF0|F6JVF0_HORVU	5e-55	89/89(100.00)	174	Tonoplast intrinsic protein TIP1;3 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.39103	tr|A7J2I5|A7J2I5_WHEAT	2e-60	96/97(98.97)	190	Tonoplast intrinsic protein GN=AQP6 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.39794	tr|M0XDK0|M0XDK0_HORVD	1e-121	182/186(97.85)	351	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.40408	tr|F2DMU9|F2DMU9_HORVD	1e-94	130/152(85.53)	280	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.40435	tr|F2CUW6|F2CUW6_HORVD	1e-65	96/98(97.96)	200	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.40734	tr|M0WFA0|M0WFA0_HORVD	2e-74	109/124(87.90)	228	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.41681	tr|M0Y9G9|M0Y9G9_HORVD	2e-34	52/62(83.87)	103	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.41773	tr|M0WF10|M0WF10_HORVD	8e-26	40/45(88.89)	97.1	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.42449	tr|F2DGG4|F2DGG4_HORVD	7e-78	112/122(91.80)	234	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.42450	tr|G4ZD65|G4ZD65_PHYSP	2e-09	95/395(24.05)	67.0	Putative uncharacterized protein GN=PHYSODRAFT_314261 OS=Phytophthora sojae (strain P6497) PE=4 SV=1
T1_Unigene_BMK.42802	tr|F2DF97|F2DF97_HORVD	3e-40	74/82(90.24)	137	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.42863	tr|B5LQT1|B5LQT1_HORVD	4e-64	96/100(96.00)	194	Adf2 GN=Rpg4 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.43107	tr|F2DA07|F2DA07_HORVD	2e-34	61/71(85.92)	120	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.43200	tr|F2DPD4|F2DPD4_HORVD	2e-63	94/95(98.95)	195	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.43216	tr|O82715|O82715_WHEAT	1e-128	173/173(100.00)	367	Pathogenisis-related protein 1.2 (Precursor) GN=PR-1.2 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.43444	tr|C6ETB7|C6ETB7_WHEAT	1e-142	199/200(99.50)	403	Class III peroxidase GN=Prx108 OS=Triticum aestivum (Wheat) PE=3 SV=1
T1_Unigene_BMK.44235	tr|F2E4V3|F2E4V3_HORVD	4e-61	100/101(99.01)	193	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.44493	tr|F2EAV9|F2EAV9_HORVD	1e-113	163/202(80.69)	329	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.44629	tr|I1H6P4|I1H6P4_BRADI	1e-18	54/106(50.94)	82.4	Uncharacterized protein (Fragment) GN=BRADI1G65840 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
